Geary,8/5/2020,Y
Gove,8/3/2020,Y
Grant,7/3/2020,N
Harvey,9/16/2020,Y
Morris,7/10/2020,Y
Pratt,7/16/2020,Y
Republic,8/4/2020,Y
Saline,7/9/2020,Y
Scott,8/10/2020,Y
Sedgwick,9/9/2020,Y
Stanton,7/23/2020,Y
Jewell,7/9/2020
Lincoln,7/9/2020
Dickinson,7/9/2020
Atchison,7/9/2020
Wyandotte,7/9/2020
Johnson,7/9/2020
Douglas,7/9/2020
Franklin,7/9/2020
Allen,7/9/2020
Bourbon,7/9/2020
Crawford,7/9/2020
Montgomery,7/9/2020

