date,state,county,cases,rank
2020-03-08,Kentucky,Jefferson,3,1
2020-03-08,Maryland,other,0,5
2020-03-08,Maryland,Baltimore,2,3
2020-03-08,Maryland,other,1,100
2020-03-08,Maryland,Montgomery,9,2
2020-03-08,Maryland,Prince George's,6,1
2020-03-08,Michigan,other,2,100
2020-03-08,Michigan,Oakland,8,2
2020-03-08,Michigan,Wayne,7,1
2020-03-08,Michigan,other,0,4
2020-03-08,Michigan,Macomb,1,3
2020-03-08,Missouri,St. Louis,1,1
2020-03-08,Missouri,other,1,100
2020-03-08,Nebraska,other,0,100
2020-03-08,Nebraska,Douglas,14,1
2020-03-08,New York,other,251,100
2020-03-08,New York,New York City,257,1
2020-03-08,Oklahoma,Oklahoma,0,1
2020-03-08,Oklahoma,Tulsa,1,2
2020-03-08,Virginia,other,13,100
2020-03-08,Virginia,Fairfax,9,1
2020-03-08,Virginia,Loudoun,3,3
2020-03-08,Virginia,Prince William,1,2
2020-03-08,Louisiana,other,1,4
2020-03-08,Louisiana,Jefferson,10,1
2020-03-08,Louisiana,Orleans,48,2
2020-03-08,Louisiana,other,2,100
2020-03-08,Louisiana,other,2,5
2020-03-08,Minnesota,Stearns,1,3
2020-03-08,Minnesota,other,2,100
2020-03-08,Minnesota,Hennepin,5,1
2020-03-08,Minnesota,Ramsey,3,2
2020-03-08,Tennessee,other,0,4
2020-03-08,Tennessee,Shelby,1,2
2020-03-08,Tennessee,other,9,100
2020-03-08,Tennessee,Davidson,13,1
2020-03-08,Tennessee,Hamilton,0,3
2020-03-08,Wisconsin,Milwaukee,4,1
2020-03-08,Wisconsin,other,11,100
2020-03-08,Wisconsin,Racine,0,3
2020-03-08,California,other,234,100
2020-03-08,California,Los Angeles,39,1
2020-03-08,New Jersey,other,0,100
2020-03-08,New Jersey,Bergen,28,1
2020-03-08,New Jersey,other,1,12
2020-03-08,New Jersey,other,1,10
2020-03-08,New Jersey,Essex,6,3
2020-03-08,New Jersey,Hudson,4,2
2020-03-08,New Jersey,other,6,5
2020-03-08,New Jersey,other,6,8
2020-03-08,New Jersey,other,4,11
2020-03-08,New Jersey,other,0,7
2020-03-08,New Jersey,other,1,4
2020-03-08,New Jersey,other,0,6
2020-03-08,New Mexico,Bernalillo,5,3
2020-03-08,New Mexico,other,2,100
2020-03-08,Washington,other,19,100
2020-03-08,Washington,King,317,1
2020-03-08,Washington,other,23,4
2020-03-08,Washington,Snohomish,128,3
2020-03-08,Washington,Yakima,1,2
2020-03-08,Connecticut,Fairfield,14,1
2020-03-08,Connecticut,other,2,100
2020-03-08,Mississippi,other,0,12
2020-03-08,Mississippi,other,2,8
2020-03-08,Mississippi,other,0,14
2020-03-08,Mississippi,other,0,100
2020-03-08,Puerto Rico,Unknown,1,1
2020-03-08,North Dakota,other,0,100
2020-03-08,Pennsylvania,other,2,4
2020-03-08,Pennsylvania,other,3,100
2020-03-08,Pennsylvania,Delaware,5,3
