date,state,county,deaths,rank
2020-03-08,Maryland,Prince George's,0,2
2020-03-08,Michigan,other,0,100
2020-03-08,Michigan,Oakland,0,2
2020-03-08,Michigan,Wayne,0,1
2020-03-08,Michigan,Macomb,0,3
2020-03-08,Missouri,St. Louis,0,1
2020-03-08,Missouri,other,0,100
2020-03-08,Nebraska,other,0,100
2020-03-08,Nebraska,Douglas,0,2
2020-03-08,New York,New York City,1,1
2020-03-08,New York,other,1,100
2020-03-08,Oklahoma,Oklahoma,0,1
2020-03-08,Oklahoma,Tulsa,0,2
2020-03-08,Virginia,other,1,100
2020-03-08,Virginia,Arlington,0,3
2020-03-08,Virginia,Fairfax,0,1
2020-03-08,Virginia,other,0,4
2020-03-08,Louisiana,other,0,4
2020-03-08,Louisiana,Jefferson,0,2
2020-03-08,Louisiana,Orleans,1,1
2020-03-08,Louisiana,other,0,100
2020-03-08,Louisiana,other,0,5
2020-03-08,Minnesota,other,0,100
2020-03-08,Minnesota,Hennepin,0,1
2020-03-08,Tennessee,other,0,4
2020-03-08,Tennessee,Shelby,0,1
2020-03-08,Tennessee,other,0,100
2020-03-08,Tennessee,Davidson,0,2
2020-03-08,Wisconsin,Milwaukee,0,1
2020-03-08,Wisconsin,other,0,100
2020-03-08,California,other,3,100
2020-03-08,California,Los Angeles,1,1
2020-03-08,New Jersey,other,0,100
2020-03-08,New Jersey,Bergen,1,2
2020-03-08,New Jersey,Essex,0,1
2020-03-08,New Jersey,Hudson,0,3
2020-03-08,New Jersey,other,0,5
2020-03-08,New Jersey,other,1,9
2020-03-08,New Jersey,other,0,8
2020-03-08,New Jersey,other,0,7
2020-03-08,New Jersey,other,0,6
2020-03-08,New Jersey,other,0,4
2020-03-08,New Mexico,Bernalillo,0,3
2020-03-08,New Mexico,other,0,100
2020-03-08,Washington,other,1,100
2020-03-08,Washington,King,20,1
2020-03-08,Washington,Snohomish,3,2
2020-03-08,Connecticut,Fairfield,0,1
2020-03-08,Connecticut,other,0,100
2020-03-08,Mississippi,other,0,100
2020-03-08,Mississippi,Forrest,0,2
2020-03-08,Mississippi,other,0,5
2020-03-08,Mississippi,other,0,4
2020-03-08,Puerto Rico,Unknown,0,1
2020-03-08,North Dakota,other,0,100
2020-03-08,Pennsylvania,other,0,4
2020-03-08,Pennsylvania,other,0,7
2020-03-08,Pennsylvania,other,0,100
2020-03-08,Pennsylvania,Delaware,0,3
2020-03-08,Pennsylvania,Montgomery,0,2
2020-03-08,Pennsylvania,Philadelphia,0,1
2020-03-08,Rhode Island,Unknown,0,2
2020-03-08,South Dakota,other,0,100
2020-03-08,South Dakota,Minnehaha,0,1
2020-03-08,Massachusetts,other,0,100
2020-03-08,Massachusetts,Essex,0,2
2020-03-08,Massachusetts,Middlesex,0,1
2020-03-08,Massachusetts,other,0,4
2020-03-08,Massachusetts,Suffolk,0,3
2020-03-08,Massachusetts,other,0,5
2020-03-08,New Hampshire,other,0,100
2020-03-08,New Hampshire,Rockingham,0,2
2020-03-08,North Carolina,other,0,100
2020-03-08,North Carolina,other,0,6
2020-03-08,North Carolina,other,0,15
2020-03-08,North Carolina,other,0,9
2020-03-08,North Carolina,other,0,8
2020-03-08,North Carolina,other,0,13
2020-03-08,North Carolina,Mecklenburg,0,1
2020-03-08,South Carolina,other,0,100
2020-03-08,South Carolina,other,0,7
2020-03-08,South Carolina,other,0,10
